[0.000000] (-) TimerEvent: {}
[0.000381] (-) JobUnselected: {'identifier': 'champ'}
[0.000431] (-) JobUnselected: {'identifier': 'champ_base'}
[0.000456] (-) JobUnselected: {'identifier': 'champ_bringup'}
[0.000475] (-) JobUnselected: {'identifier': 'champ_config'}
[0.000494] (-) JobUnselected: {'identifier': 'champ_description'}
[0.000511] (-) JobUnselected: {'identifier': 'champ_gazebo'}
[0.000527] (-) JobUnselected: {'identifier': 'champ_msgs'}
[0.000543] (-) JobUnselected: {'identifier': 'champ_navigation'}
[0.000559] (-) JobUnselected: {'identifier': 'champ_teleop'}
[0.000573] (-) JobUnselected: {'identifier': 'go1_config'}
[0.000588] (-) JobUnselected: {'identifier': 'go2_description'}
[0.000604] (-) JobUnselected: {'identifier': 'ndt_omp_ros2'}
[0.000619] (-) JobUnselected: {'identifier': 'pcl_localization_ros2'}
[0.000634] (-) JobUnselected: {'identifier': 'routing_agent'}
[0.000648] (-) JobUnselected: {'identifier': 'routing_agent_interfaces'}
[0.000663] (-) JobUnselected: {'identifier': 'spot_config'}
[0.000678] (-) JobUnselected: {'identifier': 'spot_description'}
[0.000694] (-) JobUnselected: {'identifier': 'spot_routing_nav'}
[0.000725] (-) JobUnselected: {'identifier': 'switch_map_interfaces'}
[0.000747] (-) JobUnselected: {'identifier': 'user_tools'}
[0.001037] (-) EventReactorShutdown: {}
